id,vote,name,party, Energy and Water Development, Financial Services and General Government, Interior, Environment, Military Construction, Veterans Affairs, Transportation, and Housing a
321,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat,,,,,,,
322,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,,,,,,
323,13,Yea,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,,,,,,
324,1,Nay,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,,,,,,
325,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat,,,,,,,
326,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,,,,,,
327,5,Yea,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,,,,,,
328,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican,,,,,,,
329,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican,,,,,,,
330,0,Nay,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,,,,,,
331,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,,,,,,
332,2,Nay,"Rep. Jefferson Van Drew [R, 2019-2024]",Republican,,,,,,,
333,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat,,,,,,,
334,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,,,,,,
335,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,,,,,,
336,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat,,,,,,,
337,14,Yea,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,,,,,,
338,19,Yea,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,,,,,,
339,16,Nay,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,,,,,,
340,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,,,,,,
341,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,,,,,,
342,9,Nay,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,,,,,,
343,13,Nay,"Rep. John Joyce [R, 2019-2024]",Republican,,,,,,,
344,14,Nay,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,,,,,,
345,4,Nay,"Rep. William Timmons [R, 2019-2024]",Republican,,,,,,,
346,0,Nay,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,,,,,,
347,2,Nay,"Rep. Tim Burchett [R, 2019-2024]",Republican,,,,,,,
348,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican,,,,,,,
349,7,Nay,"Rep. Mark E. Green [R, 2019-2024]",Republican,,,,,,,
350,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,,,,,,
351,3,Nay,"Rep. Van Taylor [R, 2019-2022]",Republican,,,,,,,
352,5,Nay,"Rep. Lance Gooden [R, 2019-2024]",Republican,,,,,,,
353,7,Yea,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,,,,,,
354,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,,,,,,
355,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican,,,,,,,
356,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,,,,,,
357,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat,,,,,,,
358,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,,,,,,
359,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican,,,,,,,
360,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,,,,,,
361,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,,,,,,
362,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,,,,,,
363,1,Nay,"Rep. Bryan Steil [R, 2019-2024]",Republican,,,,,,,
364,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican,,,,,,,
365,2,Yea,"Rep. Jared Golden [D, 2019-2024]",Democrat,,,,,,,
366,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican,,,,,,,
367,9,Nay,"Rep. Dan Bishop [R, 2019-2022]",Republican,,,,,,,
368,3,Nay,"Rep. Gregory Murphy [R, 2019-2024]",Republican,,,,,,,
369,7,Nay,"Rep. Thomas Tiffany [R, 2020-2024]",Republican,,,,,,,
370,25,Nay,"Rep. Mike Garcia [R, 2020-2022]",Republican,,,,,,,
371,27,Nay,"Rep. Chris Jacobs [R, 2020-2022]",Republican,,,,,,,
372,1,Nay,"Rep. Jerry Carl [R, 2021-2024]",Republican,,,,,,,
373,2,Nay,"Rep. Barry Moore [R, 2021-2024]",Republican,,,,,,,
374,8,Nay,"Rep. Jay Obernolte [R, 2021-2022]",Republican,,,,,,,
375,39,Nay,"Rep. Young Kim [R, 2021-2022]",Republican,,,,,,,
376,48,Nay,"Rep. Michelle Steel [R, 2021-2022]",Republican,,,,,,,
377,53,Yea,"Rep. Sara Jacobs [D, 2021-2022]",Democrat,,,,,,,
378,3,Nay,"Rep. Lauren Boebert [R, 2021-2024]",Republican,,,,,,,
379,3,Nay,"Rep. Katherine “Kat” Cammack [R, 2021-2024]",Republican,,,,,,,
380,15,Nay,"Rep. Scott Franklin [R, 2021-2022]",Republican,,,,,,,
381,19,Nay,"Rep. Byron Donalds [R, 2021-2024]",Republican,,,,,,,
382,26,Nay,"Rep. Carlos Gimenez [R, 2021-2022]",Republican,,,,,,,
383,27,Nay,"Rep. Maria Salazar [R, 2021-2024]",Republican,,,,,,,
384,5,Yea,"Rep. Nikema Williams [D, 2021-2024]",Democrat,,,,,,,
385,7,Yea,"Rep. Carolyn Bourdeaux [D, 2021-2022]",Democrat,,,,,,,
386,9,Nay,"Rep. Andrew Clyde [R, 2021-2024]",Republican,,,,,,,
387,14,Nay,"Rep. Marjorie Taylor Greene [R, 2021-2024]",Republican,,,,,,,
388,2,Yea,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat,,,,,,,
389,1,Nay,"Rep. Ashley Hinson [R, 2021-2022]",Republican,,,,,,,
390,2,Nay,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican,,,,,,,
391,4,Nay,"Rep. Randy Feenstra [R, 2021-2024]",Republican,,,,,,,
392,3,Yea,"Rep. Marie Newman [D, 2021-2022]",Democrat,,,,,,,
393,15,Nay,"Rep. Mary Miller [R, 2021-2024]",Republican,,,,,,,
394,1,Yea,"Rep. Frank Mrvan [D, 2021-2024]",Democrat,,,,,,,
395,5,Nay,"Rep. Victoria Spartz [R, 2021-2024]",Republican,,,,,,,
396,1,Nay,"Rep. Tracey Mann [R, 2021-2024]",Republican,,,,,,,
397,2,Nay,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican,,,,,,,
398,4,Yea,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat,,,,,,,
399,3,Nay,"Rep. Peter Meijer [R, 2021-2022]",Republican,,,,,,,
400,10,Nay,"Rep. Lisa McClain [R, 2021-2022]",Republican,,,,,,,
401,7,Nay,"Rep. Michelle Fischbach [R, 2021-2024]",Republican,,,,,,,
402,1,Yea,"Rep. Cori Bush [D, 2021-2024]",Democrat,,,,,,,
403,0,Nay,"Rep. Matthew Rosendale [R, 2021-2022]",Republican,,,,,,,
404,2,Yea,"Rep. Deborah Ross [D, 2021-2024]",Democrat,,,,,,,
405,6,Yea,"Rep. Kathy Manning [D, 2021-2024]",Democrat,,,,,,,
406,11,Nay,"Rep. Madison Cawthorn [R, 2021-2022]",Republican,,,,,,,
407,2,Nay,"Rep. Yvette Herrell [R, 2021-2022]",Republican,,,,,,,
408,3,Yea,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat,,,,,,,
409,2,Nay,"Rep. Andrew Garbarino [R, 2021-2024]",Republican,,,,,,,
410,11,Nay,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican,,,,,,,
411,15,Yea,"Rep. Ritchie Torres [D, 2021-2024]",Democrat,,,,,,,
412,16,Yea,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat,,,,,,,
413,17,Yea,"Rep. Mondaire Jones [D, 2021-2022]",Democrat,,,,,,,
414,5,Nay,"Rep. Stephanie Bice [R, 2021-2024]",Republican,,,,,,,
415,2,Nay,"Rep. Cliff Bentz [R, 2021-2024]",Republican,,,,,,,
416,1,Nay,"Rep. Nancy Mace [R, 2021-2024]",Republican,,,,,,,
417,1,Nay,"Rep. Diana Harshbarger [R, 2021-2024]",Republican,,,,,,,
418,4,Nay,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican,,,,,,,
419,11,Nay,"Rep. August Pfluger [R, 2021-2024]",Republican,,,,,,,
420,13,Nay,"Rep. Ronny Jackson [R, 2021-2024]",Republican,,,,,,,
421,22,Nay,"Rep. Troy Nehls [R, 2021-2024]",Republican,,,,,,,
422,23,Nay,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican,,,,,,,
423,24,Nay,"Rep. Beth Van Duyne [R, 2021-2024]",Republican,,,,,,,
424,1,Nay,"Rep. Blake Moore [R, 2021-2024]",Republican,,,,,,,
425,4,Nay,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican,,,,,,,
426,5,Nay,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican,,,,,,,
427,10,Yea,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat,,,,,,,
428,5,Nay,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican,,,,,,,
429,5,Nay,"Rep. Julia Letlow [R, 2021-2024]",Republican,,,,,,,
430,2,Yea,"Rep. Troy Carter [D, 2021-2024]",Democrat,,,,,,,
431,1,Yea,"Rep. Melanie Stansbury [D, 2021-2024]",Democrat,,,,,,,
