id,vote,name,party, and 6.
386,2,Yea,"Rep. Kaialiʻi Kahele [D, 2021-2022]",Democrat
387,1,Nay,"Rep. Ashley Hinson [R, 2021-2022]",Republican
388,2,Nay,"Rep. Mariannette Miller-Meeks [R, 2021-2022]",Republican
389,4,Nay,"Rep. Randy Feenstra [R, 2021-2024]",Republican
390,3,Yea,"Rep. Marie Newman [D, 2021-2022]",Democrat
391,15,Nay,"Rep. Mary Miller [R, 2021-2024]",Republican
392,1,Yea,"Rep. Frank Mrvan [D, 2021-2024]",Democrat
393,5,Nay,"Rep. Victoria Spartz [R, 2021-2024]",Republican
394,1,Nay,"Rep. Tracey Mann [R, 2021-2024]",Republican
395,2,Nay,"Rep. Jacob “Jake” LaTurner [R, 2021-2024]",Republican
396,4,Yea,"Rep. Jake Auchincloss [D, 2021-2024]",Democrat
397,3,Nay,"Rep. Peter Meijer [R, 2021-2022]",Republican
398,10,Nay,"Rep. Lisa McClain [R, 2021-2022]",Republican
399,7,Nay,"Rep. Michelle Fischbach [R, 2021-2024]",Republican
400,1,Yea,"Rep. Cori Bush [D, 2021-2024]",Democrat
401,0,Nay,"Rep. Matthew Rosendale [R, 2021-2022]",Republican
402,2,Yea,"Rep. Deborah Ross [D, 2021-2024]",Democrat
403,6,Yea,"Rep. Kathy Manning [D, 2021-2024]",Democrat
404,11,Nay,"Rep. Madison Cawthorn [R, 2021-2022]",Republican
405,2,Nay,"Rep. Yvette Herrell [R, 2021-2022]",Republican
406,3,Yea,"Rep. Teresa Leger Fernandez [D, 2021-2024]",Democrat
407,2,Nay,"Rep. Andrew Garbarino [R, 2021-2024]",Republican
408,11,Nay,"Rep. Nicole Malliotakis [R, 2021-2024]",Republican
409,15,Yea,"Rep. Ritchie Torres [D, 2021-2024]",Democrat
410,16,Yea,"Rep. Jamaal Bowman [D, 2021-2024]",Democrat
411,17,Yea,"Rep. Mondaire Jones [D, 2021-2022]",Democrat
412,5,Nay,"Rep. Stephanie Bice [R, 2021-2024]",Republican
413,2,Nay,"Rep. Cliff Bentz [R, 2021-2024]",Republican
414,1,Nay,"Rep. Nancy Mace [R, 2021-2024]",Republican
415,1,Nay,"Rep. Diana Harshbarger [R, 2021-2024]",Republican
416,4,Nay,"Rep. Patrick “Pat” Fallon [R, 2021-2024]",Republican
417,11,Nay,"Rep. August Pfluger [R, 2021-2024]",Republican
418,13,Nay,"Rep. Ronny Jackson [R, 2021-2024]",Republican
419,22,Nay,"Rep. Troy Nehls [R, 2021-2024]",Republican
420,23,Nay,"Rep. Ernest “Tony” Gonzales [R, 2021-2024]",Republican
421,24,Nay,"Rep. Beth Van Duyne [R, 2021-2024]",Republican
422,1,Nay,"Rep. Blake Moore [R, 2021-2024]",Republican
423,4,Nay,"Rep. Clarence “Burgess” Owens [R, 2021-2024]",Republican
424,5,Nay,"Rep. Robert “Bob” Good [R, 2021-2024]",Republican
425,10,Yea,"Rep. Marilyn Strickland [D, 2021-2024]",Democrat
426,5,Nay,"Rep. Scott Fitzgerald [R, 2021-2024]",Republican
427,5,Nay,"Rep. Julia Letlow [R, 2021-2024]",Republican
428,2,Yea,"Rep. Troy Carter [D, 2021-2024]",Democrat
429,1,Yea,"Rep. Melanie Stansbury [D, 2021-2024]",Democrat
430,6,Nay,"Rep. Jake Ellzey [R, 2021-2024]",Republican
431,11,Yea,"Rep. Shontel Brown [D, 2021-2024]",Democrat
432,15,Nay,"Rep. Mike Carey [R, 2021-2024]",Republican
433,20,Yea,"Rep. Sheila Cherfilus-McCormick [D, 2022-2024]",Democrat
