id,vote,name,party, 113, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 
39,2,Yea,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
40,5,Yea,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
41,10,Yea,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
42,32,Yea,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
43,1,Yea,"Rep. Richard Neal [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
44,6,Yea,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,
45,9,Yea,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
46,4,Yea,"Rep. David Price [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,
47,5,Yea,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,
48,3,Yea,"Rep. Mike Rogers [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,
49,40,Yea,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
50,2,Yea,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,,,,,,,,,,,,,,,
51,1,Yea,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,,,,,,,,,,,,,,,
52,13,Yea,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
53,38,Yea,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
54,9,Yea,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,,,,,,,,,,,,,,,
55,28,Yea,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
56,13,Yea,"Rep. David Scott [D, 2003-2024]",Democrat,,,,,,,,,,,,,,,,
57,3,Yea,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,
58,17,Nay,"Rep. Pete Sessions [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,
59,30,Yea,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
60,2,Yea,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,,,,,,,,,,,,,,,
61,9,Yea,"Rep. Adam Smith [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,
62,4,Nay,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,
63,2,Yea,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,
64,5,Yea,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
65,10,Yea,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
66,6,Yea,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,,,,,,,
67,7,Yea,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
68,43,Yea,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
69,2,Yea,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,
70,1,Yea,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,,,,,,,
71,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
72,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
73,5,Yea,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,
74,26,Yea,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
75,5,Yea,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,
76,10,Yea,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,
77,1,Nay,"Rep. Louie Gohmert [R, 2005-2022]",Republican,,,,,,,,,,,,,,,,
78,9,Yea,"Rep. Al Green [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,
79,10,Yea,"Rep. Michael McCaul [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,
80,28,Yea,"Rep. Henry Cuellar [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,
81,5,Yea,"Rep. Cathy Anne McMorris Rodgers [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,
82,4,Yea,"Rep. Gwen Moore [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,
83,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
84,7,Yea,"Rep. Kweisi Mfume [D, 2020-2024]",Democrat,,,,,,,,,,,,,,,,
85,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
86,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
87,23,Yea,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
88,5,Yea,"Rep. Doug Lamborn [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,
89,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,
90,2,Yea,"Rep. Joe Courtney [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,
91,14,Yea,"Rep. Kathy Castor [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
92,16,Yea,"Rep. Vern Buchanan [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
93,4,Yea,"Rep. Henry C. “Hank” Johnson [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,
94,3,Yea,"Rep. John Yarmuth [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,
95,3,Yea,"Rep. John Sarbanes [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,
96,7,Yea,"Rep. Tim Walberg [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
97,3,Nay,"Rep. Adrian Smith [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,
98,9,Yea,"Rep. Yvette Clarke [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
99,4,Yea,"Rep. Jim Jordan [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,
100,9,Yea,"Rep. Steve Cohen [D, 2007-2024]",Democrat,,,,,,,,,,,,,,,,
101,0,Yea,"Rep. Peter Welch [D, 2007-2022]",Democrat,,,,,,,,,,,,,,,,
102,12,Yea,"Rep. Gus Bilirakis [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
103,1,Yea,"Rep. Robert Wittman [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,
104,5,Yea,"Rep. Robert Latta [R, 2007-2024]",Republican,,,,,,,,,,,,,,,,
105,11,Yea,"Rep. Bill Foster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
106,7,Yea,"Rep. André Carson [D, 2008-2024]",Democrat,,,,,,,,,,,,,,,,
107,14,Yea,"Rep. Jackie Speier [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
108,1,Yea,"Rep. Steve Scalise [R, 2008-2024]",Republican,,,,,,,,,,,,,,,,
109,11,Yea,"Rep. Gerald Connolly [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,
110,2,Yea,"Rep. Brett Guthrie [R, 2009-2024]",Republican,,,,,,,,,,,,,,,,
111,4,Yea,"Rep. James “Jim” Himes [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,
112,2,Yea,"Rep. Ann Kirkpatrick [D, 2019-2022]",Democrat,,,,,,,,,,,,,,,,
113,3,Yea,"Rep. Blaine Luetkemeyer [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
114,4,Nay,"Rep. Tom McClintock [R, 2009-2022]",Republican,,,,,,,,,,,,,,,,
115,1,Yea,"Rep. Chellie Pingree [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,
116,8,Nay,"Rep. Bill Posey [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
117,5,Yea,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,,,,,,,,,,,,,,,,
118,15,Yea,"Rep. Glenn Thompson [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
119,1,Yea,"Rep. Dina Titus [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
120,20,Yea,"Rep. Paul Tonko [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
121,5,Yea,"Rep. Mike Quigley [D, 2009-2024]",Democrat,,,,,,,,,,,,,,,,
122,27,Yea,"Rep. Judy Chu [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
123,3,Yea,"Rep. John Garamendi [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
124,22,Yea,"Rep. Theodore “Ted” Deutch [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
125,5,Nay,"Rep. Mo Brooks [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
126,7,Yea,"Rep. Terri Sewell [D, 2011-2024]",Democrat,,,,,,,,,,,,,,,,
127,4,Nay,"Rep. Paul Gosar [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
128,6,Nay,"Rep. David Schweikert [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
129,1,Nay,"Rep. Eric “Rick” Crawford [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
130,3,Nay,"Rep. Steve Womack [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
131,37,Yea,"Rep. Karen Bass [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
132,11,Nay,"Rep. Daniel Webster [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
133,24,Yea,"Rep. Frederica Wilson [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
134,8,Nay,"Rep. Austin Scott [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
135,16,Yea,"Rep. Adam Kinzinger [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
136,8,Yea,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
137,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
138,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
139,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
140,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
141,4,Not Voting,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
142,7,Yea,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
143,6,Yea,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
144,7,Yea,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
145,16,Yea,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
146,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,,,,
147,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
148,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
149,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
150,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
151,3,Yea,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
152,1,Yea,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,
153,2,Yea,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,
154,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,
155,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,,,,,,,
156,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,
157,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,
158,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
159,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
160,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
161,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
162,21,Yea,"Rep. David Valadao [R, 2021-2022]",Republican,,,,,,,,,,,,,,,,
163,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
164,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
165,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
166,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
167,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
168,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
169,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
170,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
171,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
172,13,Yea,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
173,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
174,2,Yea,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
175,6,Yea,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
176,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
177,2,Yea,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
178,8,Yea,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
179,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
180,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
181,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
182,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
183,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,
184,2,Yea,"Rep. Brad Wenstrup [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
185,3,Yea,"Rep. Joyce Beatty [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
186,14,Yea,"Rep. David Joyce [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
187,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
188,10,Nay,"Rep. Scott Perry [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,
189,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
190,7,Yea,"Rep. Tom Rice [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,
191,14,Nay,"Rep. Randy Weber [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
192,20,Yea,"Rep. Joaquin Castro [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
193,25,Nay,"Rep. Roger Williams [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
194,33,Yea,"Rep. Marc Veasey [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
195,2,Yea,"Rep. Chris Stewart [R, 2013-2023]",Republican,,,,,,,,,,,,,,,,
196,6,Yea,"Rep. Derek Kilmer [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
197,2,Yea,"Rep. Mark Pocan [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
198,2,Yea,"Rep. Robin Kelly [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
199,8,Nay,"Rep. Jason Smith [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,
200,5,Yea,"Rep. Katherine Clark [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,
201,1,Yea,"Rep. Donald Norcross [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,
202,12,Yea,"Rep. Alma Adams [D, 2014-2024]",Democrat,,,,,,,,,,,,,,,,
203,6,Nay,"Rep. Gary Palmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
204,2,Nay,"Rep. French Hill [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
205,4,Nay,"Rep. Bruce Westerman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
206,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
207,11,Yea,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
208,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
209,33,Yea,"Rep. Ted Lieu [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
210,35,Yea,"Rep. Norma Torres [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,
211,4,Nay,"Rep. Ken Buck [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
212,1,Yea,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
213,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,
214,11,Nay,"Rep. Barry Loudermilk [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
215,12,Nay,"Rep. Rick Allen [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
216,12,Yea,"Rep. Mike Bost [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
217,6,Yea,"Rep. Garret Graves [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
218,6,Yea,"Rep. Seth Moulton [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,
219,4,Nay,"Rep. John Moolenaar [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,
220,12,Yea,"Rep. Debbie Dingell [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
221,14,Yea,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
222,6,Nay,"Rep. Tom Emmer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
223,7,Yea,"Rep. David Rouzer [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
224,12,Yea,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,
225,1,Yea,"Rep. Lee Zeldin [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,
226,4,Yea,"Rep. Kathleen Rice [D, 2015-2022]",Democrat,,,,,,,,,,,,,,,,
227,21,Yea,"Rep. Elise Stefanik [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
228,24,Yea,"Rep. John Katko [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,
229,2,Yea,"Rep. Brendan Boyle [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
230,36,Yea,"Rep. Brian Babin [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
231,8,Yea,"Rep. Donald Beyer [D, 2015-2024]",Democrat,,,,,,,,,,,,,,,,
232,4,Yea,"Rep. Dan Newhouse [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
233,6,Nay,"Rep. Glenn Grothman [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
234,2,Nay,"Rep. Alexander Mooney [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
235,1,Yea,"Rep. Trent Kelly [R, 2015-2024]",Republican,,,,,,,,,,,,,,,,
236,18,Nay,"Rep. Darin LaHood [R, 2015-2022]",Republican,,,,,,,,,,,,,,,,
237,8,Nay,"Rep. Warren Davidson [R, 2016-2024]",Republican,,,,,,,,,,,,,,,,
238,1,Nay,"Rep. James Comer [R, 2016-2024]",Republican,,,,,,,,,,,,,,,,
239,3,Yea,"Rep. Dwight Evans [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,
240,1,Yea,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
241,5,Nay,"Rep. Andy Biggs [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
242,17,Yea,"Rep. Ro Khanna [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
243,20,Yea,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
244,24,Yea,"Rep. Salud Carbajal [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
245,44,Yea,"Rep. Nanette Barragán [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
246,46,Yea,"Rep. Luis Correa [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
247,0,Yea,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
248,1,Nay,"Rep. Matt Gaetz [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
249,2,Yea,"Rep. Neal Dunn [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
250,4,Nay,"Rep. John Rutherford [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,
251,5,Yea,"Rep. Al Lawson [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
252,7,Yea,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
253,9,Yea,"Rep. Darren Soto [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
254,10,Yea,"Rep. Val Demings [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
255,13,Yea,"Rep. Charlie Crist [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
256,18,Nay,"Rep. Brian Mast [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,
257,3,Nay,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
258,8,Yea,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
259,3,Yea,"Rep. Jim Banks [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
260,9,Yea,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,,,,,,,,,,,,,,
261,3,Nay,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
262,4,Nay,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,,,,,,,,,,,,,,
263,4,Yea,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,
264,8,Yea,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,
