id,vote,name,party, Foreign Operations, and Energy and Water Development Appropriations Act, 2020
365,3,Yea,"Rep. Cynthia Axne [D, 2019-2022]",Democrat,,
366,1,Nay,"Rep. Russ Fulcher [R, 2019-2024]",Republican,,
367,4,Yea,"Rep. Jesús “Chuy” García [D, 2019-2024]",Democrat,,
368,6,Yea,"Rep. Sean Casten [D, 2019-2024]",Democrat,,
369,14,Yea,"Rep. Lauren Underwood [D, 2019-2024]",Democrat,,
370,4,Nay,"Rep. James Baird [R, 2019-2024]",Republican,,
371,6,Nay,"Rep. Greg Pence [R, 2019-2024]",Republican,,
372,2,Nay,"Rep. Steven Watkins [R, 2019-2020]",Republican,,
373,3,Yea,"Rep. Sharice Davids [D, 2019-2024]",Democrat,,
374,3,Yea,"Rep. Lori Trahan [D, 2019-2024]",Democrat,,
375,7,Nay,"Rep. Ayanna Pressley [D, 2019-2024]",Democrat,,
376,6,Yea,"Rep. David Trone [D, 2019-2024]",Democrat,,
377,8,Yea,"Rep. Elissa Slotkin [D, 2019-2022]",Democrat,,
378,9,Yea,"Rep. Andy Levin [D, 2019-2022]",Democrat,,
379,11,Yea,"Rep. Haley Stevens [D, 2019-2024]",Democrat,,
380,13,Nay,"Rep. Rashida Tlaib [D, 2019-2022]",Democrat,,
381,1,Nay,"Rep. Jim Hagedorn [R, 2019-2022]",Republican,,
382,2,Yea,"Rep. Angie Craig [D, 2019-2024]",Democrat,,
383,3,Yea,"Rep. Dean Phillips [D, 2019-2024]",Democrat,,
384,5,Nay,"Rep. Ilhan Omar [D, 2019-2024]",Democrat,,
385,8,Nay,"Rep. Pete Stauber [R, 2019-2024]",Republican,,
386,3,Nay,"Rep. Michael Guest [R, 2019-2024]",Republican,,
387,0,Nay,"Rep. Kelly Armstrong [R, 2019-2024]",Republican,,
388,1,Yea,"Rep. Chris Pappas [D, 2019-2024]",Democrat,,
389,2,Yea,"Rep. Jefferson Van Drew [R, 2019-2024]",Democrat,,
390,3,Yea,"Rep. Andy Kim [D, 2019-2024]",Democrat,,
391,7,Yea,"Rep. Tom Malinowski [D, 2019-2022]",Democrat,,
392,11,Yea,"Rep. Mikie Sherrill [D, 2019-2024]",Democrat,,
393,1,Yea,"Rep. Debra Haaland [D, 2019-2021]",Democrat,,
394,2,Yea,"Rep. Xochitl Torres Small [D, 2019-2020]",Democrat,,
395,3,Yea,"Rep. Susie Lee [D, 2019-2024]",Democrat,,
396,11,Yea,"Rep. Max Rose [D, 2019-2020]",Democrat,,
397,14,Nay,"Rep. Alexandria Ocasio-Cortez [D, 2019-2024]",Democrat,,
398,19,Yea,"Rep. Antonio Delgado [D, 2019-2022]",Democrat,,
399,22,Yea,"Rep. Anthony Brindisi [D, 2019-2020]",Democrat,,
400,16,Nay,"Rep. Anthony Gonzalez [R, 2019-2022]",Republican,,
401,5,Yea,"Rep. Kendra Horn [D, 2019-2020]",Democrat,,
402,4,Yea,"Rep. Madeleine Dean [D, 2019-2024]",Democrat,,
403,6,Yea,"Rep. Chrissy Houlahan [D, 2019-2024]",Democrat,,
404,9,Nay,"Rep. Daniel Meuser [R, 2019-2024]",Republican,,
405,13,Nay,"Rep. John Joyce [R, 2019-2024]",Republican,,
406,14,Nay,"Rep. Guy Reschenthaler [R, 2019-2024]",Republican,,
407,1,Yea,"Rep. Joe Cunningham [D, 2019-2020]",Democrat,,
408,4,Nay,"Rep. William Timmons [R, 2019-2024]",Republican,,
409,0,Nay,"Rep. Dusty Johnson [R, 2019-2024]",Republican,,
410,2,Nay,"Rep. Tim Burchett [R, 2019-2024]",Republican,,
411,6,Nay,"Rep. John W. Rose [R, 2019-2024]",Republican,,
412,7,Nay,"Rep. Mark E. Green [R, 2019-2024]",Republican,,
413,2,Nay,"Rep. Dan Crenshaw [R, 2019-2024]",Republican,,
414,3,Nay,"Rep. Van Taylor [R, 2019-2022]",Republican,,
415,5,Nay,"Rep. Lance Gooden [R, 2019-2024]",Republican,,
416,6,Nay,"Rep. Ron Wright [R, 2019-2021]",Republican,,
417,7,Yea,"Rep. Lizzie Fletcher [D, 2019-2024]",Democrat,,
418,16,Yea,"Rep. Veronica Escobar [D, 2019-2024]",Democrat,,
419,21,Nay,"Rep. Chip Roy [R, 2019-2024]",Republican,,
420,29,Yea,"Rep. Sylvia Garcia [D, 2019-2024]",Democrat,,
421,32,Yea,"Rep. Colin Allred [D, 2019-2024]",Democrat,,
422,4,Nay,"Rep. Ben McAdams [D, 2019-2020]",Democrat,,
423,2,Yea,"Rep. Elaine Luria [D, 2019-2022]",Democrat,,
424,5,Nay,"Rep. Denver Riggleman [R, 2019-2020]",Republican,,
425,6,Nay,"Rep. Ben Cline [R, 2019-2024]",Republican,,
426,7,Yea,"Rep. Abigail Spanberger [D, 2019-2024]",Democrat,,
427,10,Yea,"Rep. Jennifer Wexton [D, 2019-2024]",Democrat,,
428,8,Yea,"Rep. Kim Schrier [D, 2019-2024]",Democrat,,
429,1,Nay,"Rep. Bryan Steil [R, 2019-2024]",Republican,,
430,3,Nay,"Rep. Carol Miller [R, 2019-2022]",Republican,,
431,2,Yea,"Rep. Jared Golden [D, 2019-2024]",Democrat,,
432,12,Nay,"Rep. Fred Keller [R, 2019-2022]",Republican,,
